Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
20001 Abaltzisketa;2000101 Abaltzisketa distrito 01;2000101001 Abaltzisketa sección 01001;Renta neta media por persona ;2016;14.209
20002 Aduna;2000201 Aduna distrito 01;2000201001 Aduna sección 01001;Renta neta media por persona ;2016;15.485
20003 Aizarnazabal;2000301 Aizarnazabal distrito 01;2000301001 Aizarnazabal sección 01001;Renta neta media por persona ;2016;12.996
20004 Albiztur;2000401 Albiztur distrito 01;2000401001 Albiztur sección 01001;Renta neta media por persona ;2016;16.226
20005 Alegia;2000501 Alegia distrito 01;2000501001 Alegia sección 01001;Renta neta media por persona ;2016;12.678
20006 Alkiza;2000601 Alkiza distrito 01;2000601001 Alkiza sección 01001;Renta neta media por persona ;2016;13.245
20007 Altzo;2000701 Altzo distrito 01;2000701001 Altzo sección 01001;Renta neta media por persona ;2016;14.241
20008 Amezketa;2000801 Amezketa distrito 01;2000801001 Amezketa sección 01001;Renta neta media por persona ;2016;14.755
20009 Andoain;2000901 Andoain distrito 01;2000901001 Andoain sección 01001;Renta neta media por persona ;2016;13.630
20009 Andoain;2000901 Andoain distrito 01;2000901002 Andoain sección 01002;Renta neta media por persona ;2016;13.920
20009 Andoain;2000901 Andoain distrito 01;2000901003 Andoain sección 01003;Renta neta media por persona ;2016;12.916
20009 Andoain;2000901 Andoain distrito 01;2000901004 Andoain sección 01004;Renta neta media por persona ;2016;13.675
20009 Andoain;2000901 Andoain distrito 01;2000901005 Andoain sección 01005;Renta neta media por persona ;2016;13.095
20009 Andoain;2000901 Andoain distrito 01;2000901006 Andoain sección 01006;Renta neta media por persona ;2016;12.208
20009 Andoain;2000901 Andoain distrito 01;2000901007 Andoain sección 01007;Renta neta media por persona ;2016;13.657
20009 Andoain;2000901 Andoain distrito 01;2000901008 Andoain sección 01008;Renta neta media por persona ;2016;14.814
20009 Andoain;2000901 Andoain distrito 01;2000901009 Andoain sección 01009;Renta neta media por persona ;2016;14.051
20009 Andoain;2000901 Andoain distrito 01;2000901010 Andoain sección 01010;Renta neta media por persona ;2016;13.281
20009 Andoain;2000901 Andoain distrito 01;2000901011 Andoain sección 01011;Renta neta media por persona ;2016;13.402
20010 Anoeta;2001001 Anoeta distrito 01;2001001001 Anoeta sección 01001;Renta neta media por persona ;2016;13.355
