censo,votos_total,Sección
246,133,00101001
346,203,00201001
547,308,00301001
252,121,00401001
1260,738,00501001
259,143,00601001
310,218,00701001
716,362,00801001
1025,684,00901001
1337,896,00901002
1441,928,00901003
798,480,00901004
945,615,00901005
920,600,00901006
974,639,00901007
927,573,00901008
904,537,00901009
997,667,00901010
1184,769,00901011
1499,992,01001001
1658,1219,01101001
147,99,01201001
1189,803,01301001
1529,1039,01301002
1523,983,01301003
1174,777,01301004
1108,611,01401001
1265,858,01501001
858,430,01601001
662,396,01601002
1180,665,01701001
758,494,01701002
748,467,01702001
1741,1085,01702002
990,621,01703001
1081,736,01703002
679,447,01703003
1382,963,01703004
975,599,01801001
1125,699,01801002
1254,795,01801003
1620,984,01801004
1794,1121,01801005
1447,849,01801006
1002,533,01801007
569,309,01801008
1278,830,01801009
786,446,01901001
1596,1042,01901002
1477,968,01901003
1245,784,01901004
1586,1016,01901005
1792,1225,01901007
522,372,01901008
982,575,01901009
125,71,02001001
200,100,02101001
839,473,02201001
441,252,02301001
386,210,02401001
1143,765,02501001
197,145,02601001
1783,1170,02701001
1031,591,02701002
1427,922,02801001
810,451,02801002
1334,917,02901001
1392,918,02901002
767,526,02901003
788,452,02902001
1262,838,03001001
1116,732,03001002
859,585,03001003
1258,788,03001004
1059,690,03001005
853,543,03002001
918,521,03002002
976,672,03002003
1002,631,03002004
923,621,03002005
1219,709,03003001
785,533,03003003
665,438,03003004
909,569,03004001
748,511,03004002
1003,700,03004003
540,401,03004004
772,469,03004005
780,510,03004006
1003,661,03005001
687,467,03005002
1160,781,03005003
926,590,03005004
176,90,03101001
1163,774,03201001
904,576,03201002
1493,983,03201003
622,375,03201004
945,585,03201005
831,520,03201006
1043,724,03201007
919,599,03201008
877,536,03201010
868,600,03301001
1586,1001,03401001
1559,1025,03401002
486,337,03501001
1198,709,03601001
1176,771,03601002
1178,763,03601003
773,499,03601004
1319,891,03601005
1190,784,03601006
1381,828,03601007
1259,813,03601008
955,678,03601009
593,346,03601010
1435,939,03601011
753,497,03601012
99,64,03701001
387,261,03801001
791,505,03901001
1320,975,03901002
715,467,04001001
925,582,04001002
851,548,04001003
1398,891,04001004
1224,768,04001005
694,436,04001006
834,452,04001007
869,439,04001008
481,284,04001009
1460,886,04001010
704,457,04001011
762,482,04001012
1397,905,04001013
697,390,04001014
692,466,04001015
1586,991,04001016
255,123,04101001
1227,741,04201001
1129,686,04201002
872,540,04201003
1739,1090,04301001
367,236,04401001
1755,1181,04501001
1207,809,04501002
1612,1086,04501003
1113,786,04501004
1326,850,04502001
1553,926,04502002
759,451,04502003
1627,1017,04502004
1322,822,04502005
1084,765,04502006
1066,732,04502007
1509,971,04502008
