Nombre Sección,Sección,Total,censo,votos_total,Participación,cuartil
Abaltzisketa sección 01001,101001,14209.0,246.0,133.0,0.540650406504065,Q2
Aduna sección 01001,201001,15485.0,346.0,203.0,0.5867052023121387,Q3
Aizarnazabal sección 01001,301001,12996.0,547.0,308.0,0.5630712979890311,Q1
Albiztur sección 01001,401001,16226.0,252.0,121.0,0.4801587301587302,Q3
Alegia sección 01001,501001,12678.0,1260.0,738.0,0.5857142857142857,Q1
Alkiza sección 01001,601001,13245.0,259.0,143.0,0.5521235521235521,Q2
Altzo sección 01001,701001,14241.0,310.0,218.0,0.7032258064516129,Q2
Amezketa sección 01001,801001,14755.0,716.0,362.0,0.505586592178771,Q3
Andoain sección 01001,901001,13630.0,1025.0,684.0,0.6673170731707317,Q2
Andoain sección 01002,901002,13920.0,1337.0,896.0,0.6701570680628273,Q2
Andoain sección 01003,901003,12916.0,1441.0,928.0,0.6439972241498959,Q1
Andoain sección 01004,901004,13675.0,798.0,480.0,0.6015037593984962,Q2
Andoain sección 01005,901005,13095.0,945.0,615.0,0.6507936507936508,Q2
Andoain sección 01006,901006,12208.0,920.0,600.0,0.6521739130434783,Q1
Andoain sección 01007,901007,13657.0,974.0,639.0,0.6560574948665298,Q2
Andoain sección 01008,901008,14814.0,927.0,573.0,0.6181229773462783,Q3
Andoain sección 01009,901009,14051.0,904.0,537.0,0.5940265486725663,Q2
Andoain sección 01010,901010,13281.0,997.0,667.0,0.6690070210631895,Q2
Andoain sección 01011,901011,13402.0,1184.0,769.0,0.6494932432432432,Q2
Anoeta sección 01001,1001001,13355.0,1499.0,992.0,0.6617745163442295,Q2
Antzuola sección 01001,1101001,16832.0,1658.0,1219.0,0.7352231604342582,Q4
Arama sección 01001,1201001,18643.0,147.0,99.0,0.673469387755102,Q4
Aretxabaleta sección 01001,1301001,15663.0,1189.0,803.0,0.6753574432296047,Q3
Aretxabaleta sección 01002,1301002,17845.0,1529.0,1039.0,0.6795291039895357,Q4
Aretxabaleta sección 01003,1301003,16742.0,1523.0,983.0,0.6454366382140512,Q4
Aretxabaleta sección 01004,1301004,17825.0,1174.0,777.0,0.661839863713799,Q4
Asteasu sección 01001,1401001,13645.0,1108.0,611.0,0.5514440433212996,Q2
Ataun sección 01001,1501001,14848.0,1265.0,858.0,0.6782608695652174,Q3
Aia sección 01001,1601001,12708.0,858.0,430.0,0.5011655011655012,Q1
Aia sección 01002,1601002,13802.0,662.0,396.0,0.5981873111782477,Q2
Azkoitia sección 01001,1701001,12312.0,1180.0,665.0,0.5635593220338984,Q1
Azkoitia sección 01002,1701002,12960.0,758.0,494.0,0.6517150395778364,Q1
Azkoitia sección 02001,1702001,15021.0,748.0,467.0,0.6243315508021391,Q3
Azkoitia sección 02002,1702002,13843.0,1741.0,1085.0,0.6232050545663412,Q2
Azkoitia sección 03001,1703001,13617.0,990.0,621.0,0.6272727272727273,Q2
Azkoitia sección 03002,1703002,14828.0,1081.0,736.0,0.6808510638297872,Q3
Azkoitia sección 03003,1703003,14585.0,679.0,447.0,0.658321060382916,Q3
Azkoitia sección 03004,1703004,15978.0,1382.0,963.0,0.6968162083936325,Q3
Azpeitia sección 01001,1801001,14545.0,975.0,599.0,0.6143589743589744,Q3
Azpeitia sección 01002,1801002,12754.0,1125.0,699.0,0.6213333333333333,Q1
Azpeitia sección 01003,1801003,14262.0,1254.0,795.0,0.6339712918660287,Q2
Azpeitia sección 01004,1801004,14072.0,1620.0,984.0,0.6074074074074074,Q2
Azpeitia sección 01005,1801005,17246.0,1794.0,1121.0,0.624860646599777,Q4
Azpeitia sección 01006,1801006,12171.0,1447.0,849.0,0.5867311679336559,Q1
Azpeitia sección 01007,1801007,14734.0,1002.0,533.0,0.5319361277445109,Q3
Azpeitia sección 01008,1801008,13795.0,569.0,309.0,0.5430579964850615,Q2
Azpeitia sección 01009,1801009,15217.0,1278.0,830.0,0.6494522691705791,Q3
Beasain sección 01001,1901001,11596.0,786.0,446.0,0.5674300254452926,Q1
Beasain sección 01002,1901002,18149.0,1596.0,1042.0,0.6528822055137845,Q4
Beasain sección 01003,1901003,17327.0,1477.0,968.0,0.6553825321597834,Q4
Beasain sección 01004,1901004,19349.0,1245.0,784.0,0.629718875502008,Q4
Beasain sección 01005,1901005,15717.0,1586.0,1016.0,0.6406052963430012,Q3
Beasain sección 01007,1901007,16421.0,1792.0,1225.0,0.68359375,Q4
Beasain sección 01008,1901008,15010.0,522.0,372.0,0.7126436781609196,Q3
Beasain sección 01009,1901009,14127.0,982.0,575.0,0.5855397148676171,Q2
Beizama sección 01001,2001001,13186.0,125.0,71.0,0.568,Q2
Belauntza sección 01001,2101001,15179.0,200.0,100.0,0.5,Q3
Berastegi sección 01001,2201001,14008.0,839.0,473.0,0.5637663885578069,Q2
Berrobi sección 01001,2301001,13635.0,441.0,252.0,0.5714285714285714,Q2
Bidania-Goiatz sección 01001,2401001,12945.0,386.0,210.0,0.5440414507772021,Q1
Zegama sección 01001,2501001,15455.0,1143.0,765.0,0.6692913385826772,Q3
Zerain sección 01001,2601001,17448.0,197.0,145.0,0.7360406091370558,Q4
Zestoa sección 01001,2701001,13206.0,1783.0,1170.0,0.6561974200785193,Q2
Zestoa sección 01002,2701002,13340.0,1031.0,591.0,0.5732298739088264,Q2
Zizurkil sección 01001,2801001,14814.0,1427.0,922.0,0.6461107217939733,Q3
Zizurkil sección 01002,2801002,12005.0,810.0,451.0,0.5567901234567901,Q1
