Nombre Sección,Sección,Total,censo,votos_total,Participación,desviación renta 16,cambio renta 16-19,desviación participación 16,cambio voto 16-19
Donostia/San Sebastián sección 03032,6903032,17414.0,1379.0,1024.0,0.7425670775924583,2350.2678899082566,2060.3431192660537,348.5147058823529,-520.103696708041
Donostia/San Sebastián sección 03031,6903031,18005.0,1805.0,1265.0,0.7008310249307479,2941.2678899082566,1488.3431192660537,589.5147058823529,-292.10369670804096
Errenteria sección 01029,6701029,11674.0,1393.0,911.0,0.6539842067480258,-3389.7321100917434,41.34311926605369,235.51470588235293,-129.10369670804096
Errenteria sección 01027,6701027,11498.0,1361.0,908.0,0.6671565025716385,-3565.7321100917434,-204.6568807339463,232.51470588235293,-101.10369670804096
Donostia/San Sebastián sección 07002,6907002,12908.0,1358.0,920.0,0.6774668630338734,-2155.7321100917434,25.34311926605369,244.51470588235293,-99.10369670804096
Irun sección 04001,4504001,9804.0,496.0,429.0,0.8649193548387096,-5259.732110091743,3.343119266053691,-246.48529411764707,-97.10369670804096
Zumarraga sección 01005,8001005,13901.0,1949.0,1296.0,0.6649563878912262,-1162.7321100917434,-1067.6568807339463,620.5147058823529,-95.10369670804096
Irun sección 03010,4503010,10981.0,1210.0,850.0,0.7024793388429752,-4082.7321100917434,283.3431192660537,174.51470588235293,-95.10369670804096
Lasarte-Oria sección 01007,90201007,13217.0,907.0,642.0,0.7078280044101434,-1846.7321100917434,-698.6568807339463,-33.48529411764707,-86.10369670804096
Irun sección 03008,4503008,12464.0,923.0,592.0,0.6413867822318526,-2599.7321100917434,-113.65688073394631,-83.48529411764707,-86.10369670804096
Donostia/San Sebastián sección 04005,6904005,19101.0,645.0,441.0,0.6837209302325581,4037.2678899082566,-133.6568807339463,-234.48529411764707,-85.10369670804096
Donostia/San Sebastián sección 07013,6907013,13855.0,826.0,549.0,0.6646489104116223,-1208.7321100917434,-291.6568807339463,-126.48529411764707,-85.10369670804096
Lasarte-Oria sección 01011,90201011,13027.0,1495.0,1009.0,0.6749163879598662,-2036.7321100917434,-372.6568807339463,333.5147058823529,-85.10369670804096
Donostia/San Sebastián sección 07020,6907020,12546.0,1524.0,937.0,0.6148293963254593,-2517.7321100917434,-114.65688073394631,261.5147058823529,-81.10369670804096
Errenteria sección 01024,6701024,11475.0,1000.0,648.0,0.648,-3588.7321100917434,-415.6568807339463,-27.485294117647072,-81.10369670804096
Lasarte-Oria sección 01002,90201002,12985.0,1145.0,792.0,0.6917030567685589,-2078.7321100917434,-178.6568807339463,116.51470588235293,-81.10369670804096
