Nombre Sección,Sección,Total,censo,votos_total,Participación
Abaltzisketa sección 01001,00101001,17166.0,253.0,163.0,0.6442687747035574
Aduna sección 01001,00201001,16825.0,359.0,234.0,0.6518105849582173
Aizarnazabal sección 01001,00301001,14763.0,549.0,360.0,0.6557377049180327
Albiztur sección 01001,00401001,16659.0,230.0,133.0,0.5782608695652174
Alegia sección 01001,00501001,14319.0,1274.0,822.0,0.6452119309262166
Alkiza sección 01001,00601001,14461.0,261.0,154.0,0.5900383141762452
Altzo sección 01001,00701001,15942.0,337.0,223.0,0.6617210682492581
Amezketa sección 01001,00801001,16971.0,713.0,424.0,0.5946704067321178
Andoain sección 01001,00901001,14096.0,1019.0,679.0,0.6663395485770363
Andoain sección 01002,00901002,15164.0,1317.0,941.0,0.7145026575550494
Andoain sección 01003,00901003,14533.0,1576.0,988.0,0.6269035532994924
Andoain sección 01004,00901004,14942.0,770.0,471.0,0.6116883116883117
Andoain sección 01005,00901005,14006.0,914.0,620.0,0.6783369803063457
Andoain sección 01006,00901006,13430.0,888.0,571.0,0.6430180180180181
Andoain sección 01007,00901007,14863.0,956.0,646.0,0.6757322175732218
Andoain sección 01008,00901008,14930.0,913.0,565.0,0.6188389923329682
Andoain sección 01009,00901009,16222.0,883.0,530.0,0.6002265005662514
Andoain sección 01010,00901010,14496.0,983.0,634.0,0.6449643947100712
Andoain sección 01011,00901011,14756.0,1150.0,757.0,0.6582608695652173
Anoeta sección 01001,01001001,14709.0,1524.0,1057.0,0.6935695538057742
Antzuola sección 01001,01101001,18089.0,1624.0,1234.0,0.7598522167487685
Arama sección 01001,01201001,18587.0,149.0,104.0,0.697986577181208
Aretxabaleta sección 01001,01301001,15832.0,1111.0,782.0,0.7038703870387039
Aretxabaleta sección 01002,01301002,17499.0,1556.0,1128.0,0.7249357326478149
Aretxabaleta sección 01003,01301003,16827.0,1547.0,1091.0,0.7052359405300582
Aretxabaleta sección 01004,01301004,19378.0,1219.0,905.0,0.7424118129614438
Asteasu sección 01001,01401001,15322.0,1161.0,699.0,0.6020671834625323
Ataun sección 01001,01501001,16046.0,1245.0,880.0,0.7068273092369478
Aia sección 01001,01601001,14390.0,850.0,462.0,0.5435294117647059
Aia sección 01002,01601002,14653.0,679.0,425.0,0.625920471281296
Azkoitia sección 01001,01701001,13215.0,1142.0,736.0,0.6444833625218914
Azkoitia sección 01002,01701002,14033.0,722.0,480.0,0.6648199445983379
Azkoitia sección 02001,01702001,15742.0,764.0,536.0,0.7015706806282722
Azkoitia sección 02002,01702002,15856.0,1684.0,1132.0,0.672209026128266
Azkoitia sección 03001,01703001,14888.0,990.0,691.0,0.697979797979798
Azkoitia sección 03002,01703002,16698.0,1090.0,800.0,0.7339449541284404
Azkoitia sección 03003,01703003,16326.0,679.0,503.0,0.7407952871870398
Azkoitia sección 03004,01703004,18502.0,1391.0,1066.0,0.7663551401869159
Azpeitia sección 01001,01801001,18019.0,961.0,665.0,0.6919875130072841
Azpeitia sección 01002,01801002,13942.0,1155.0,783.0,0.6779220779220779
Azpeitia sección 01003,01801003,15158.0,1218.0,835.0,0.6855500821018062
Azpeitia sección 01004,01801004,14880.0,1620.0,1054.0,0.6506172839506172
Azpeitia sección 01005,01801005,18064.0,2009.0,1471.0,0.7322050771528124
Azpeitia sección 01006,01801006,13181.0,1426.0,925.0,0.6486676016830295
Azpeitia sección 01007,01801007,16161.0,1031.0,612.0,0.5935984481086324
